"","ve.new.trial","prior.info","prior.label.x.x","ave_pop_stop0","prior.label.y.x","ave_pop_stop30","test.threshold0","prior.label.x.y","prior.label.y.y","test.threshold30"
"1",0,"N(0,1e-4)","With pooling  (σ~t(0,1,1)T(0,))",5670,"With pooling  (σ~t(0,1,1)T(0,))",5970,0.985,"With pooling  (σ~t(0,1,1)T(0,))","With pooling  (σ~t(0,1,1)T(0,))",0.95
"2",0,"N(0,3.32)","No pooling",5680,"No pooling",5970,0.983,"No pooling","No pooling",0.95
"3",0,"N(δ₁,σ²); σ~U(0,100)","With pooling  (σ~U(0,100))",5690,"With pooling  (σ~U(0,100))",5970,0.986,"With pooling  (σ~U(0,100))","With pooling  (σ~U(0,100))",0.95
"4",0,"N(δ₁,σ²); σ~U(0,2)","With pooling (σ~U(0,2))",5730,"With pooling (σ~U(0,2))",5970,0.991,"With pooling (σ~U(0,2))","With pooling (σ~U(0,2))",0.95
"5",0,"N(δ₁,σ²); σ²~IG(0.01,0.01)","With pooling (σ²~IG(0.01,0.01))",5680,"With pooling (σ²~IG(0.01,0.01))",5970,0.993,"With pooling (σ²~IG(0.01,0.01))","With pooling (σ²~IG(0.01,0.01))",0.95
"6",0,"N(δ₁,σ²); σ²~IG(3,2)","With pooling (σ²~IG(3,2))",5670,"With pooling (σ²~IG(3,2))",5970,0.989,"With pooling (σ²~IG(3,2))","With pooling (σ²~IG(3,2))",0.95
"7",0,"N(δ₁,σ²);σ~t(0,1,1)T(0,)","With pooling  (σ~t(0,1,1)T(0,))",5730,"With pooling  (σ~t(0,1,1)T(0,))",5970,0.994,"With pooling  (σ~t(0,1,1)T(0,))","With pooling  (σ~t(0,1,1)T(0,))",0.95
"8",44.4,"N(0,1e-4)","With pooling  (σ~t(0,1,1)T(0,))",2800,"With pooling  (σ~t(0,1,1)T(0,))",4290,0.985,"With pooling  (σ~t(0,1,1)T(0,))","With pooling  (σ~t(0,1,1)T(0,))",0.95
"9",44.4,"N(0,3.32)","No pooling",2730,"No pooling",4380,0.983,"No pooling","No pooling",0.95
"10",44.4,"N(δ₁,σ²); σ~U(0,100)","With pooling  (σ~U(0,100))",2660,"With pooling  (σ~U(0,100))",4300,0.986,"With pooling  (σ~U(0,100))","With pooling  (σ~U(0,100))",0.95
"11",44.4,"N(δ₁,σ²); σ~U(0,2)","With pooling (σ~U(0,2))",2520,"With pooling (σ~U(0,2))",4230,0.991,"With pooling (σ~U(0,2))","With pooling (σ~U(0,2))",0.95
"12",44.4,"N(δ₁,σ²); σ²~IG(0.01,0.01)","With pooling (σ²~IG(0.01,0.01))",2550,"With pooling (σ²~IG(0.01,0.01))",4200,0.993,"With pooling (σ²~IG(0.01,0.01))","With pooling (σ²~IG(0.01,0.01))",0.95
"13",44.4,"N(δ₁,σ²); σ²~IG(3,2)","With pooling (σ²~IG(3,2))",2740,"With pooling (σ²~IG(3,2))",4290,0.989,"With pooling (σ²~IG(3,2))","With pooling (σ²~IG(3,2))",0.95
"14",44.4,"N(δ₁,σ²);σ~t(0,1,1)T(0,)","With pooling  (σ~t(0,1,1)T(0,))",2790,"With pooling  (σ~t(0,1,1)T(0,))",4170,0.994,"With pooling  (σ~t(0,1,1)T(0,))","With pooling  (σ~t(0,1,1)T(0,))",0.95
"15",90,"N(0,1e-4)","With pooling  (σ~t(0,1,1)T(0,))",1020,"With pooling  (σ~t(0,1,1)T(0,))",1030,0.985,"With pooling  (σ~t(0,1,1)T(0,))","With pooling  (σ~t(0,1,1)T(0,))",0.95
"16",90,"N(0,3.32)","No pooling",1020,"No pooling",1040,0.983,"No pooling","No pooling",0.95
"17",90,"N(δ₁,σ²); σ~U(0,100)","With pooling  (σ~U(0,100))",1010,"With pooling  (σ~U(0,100))",1020,0.986,"With pooling  (σ~U(0,100))","With pooling  (σ~U(0,100))",0.95
"18",90,"N(δ₁,σ²); σ~U(0,2)","With pooling (σ~U(0,2))",1010,"With pooling (σ~U(0,2))",1030,0.991,"With pooling (σ~U(0,2))","With pooling (σ~U(0,2))",0.95
"19",90,"N(δ₁,σ²); σ²~IG(0.01,0.01)","With pooling (σ²~IG(0.01,0.01))",1010,"With pooling (σ²~IG(0.01,0.01))",1020,0.993,"With pooling (σ²~IG(0.01,0.01))","With pooling (σ²~IG(0.01,0.01))",0.95
"20",90,"N(δ₁,σ²); σ²~IG(3,2)","With pooling (σ²~IG(3,2))",1020,"With pooling (σ²~IG(3,2))",1030,0.989,"With pooling (σ²~IG(3,2))","With pooling (σ²~IG(3,2))",0.95
"21",90,"N(δ₁,σ²);σ~t(0,1,1)T(0,)","With pooling  (σ~t(0,1,1)T(0,))",1020,"With pooling  (σ~t(0,1,1)T(0,))",1040,0.994,"With pooling  (σ~t(0,1,1)T(0,))","With pooling  (σ~t(0,1,1)T(0,))",0.95
